host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
84914225,109,37,1,36,1576,f,1,1,t,1,f,2,1,1,1,1,19,36,36,3,f,5,no,33
110855594,110,0,1,0,1402,f,0,0,t,1,f,6,2,3,3,2.666666667,0,0,0,0,f,3,no,44
335729535,120,1,1,0,274,f,0,0,t,1,f,3,2,2,3,2.333333333,0,0,0,1,f,2,no,21
198333857,125,3,1,0,869,f,1,1,t,1,t,4,1,1,2,1.333333333,0,0,0,0,f,6,yes,38
12297556,130,11,3,147,2461,t,3,3,t,1,t,6,1,2,4,2.333333333,0,28,58,2,f,5,no,37
12297556,130,8,3,147,2461,t,3,3,t,1,t,6,1,2,4,2.333333333,0,28,58,3,f,5,no,41
48142161,259,23,1,238,1835,t,1,1,t,1,t,8,2,3,6,3.666666667,7,31,61,23,t,4,no,42
8992436,445,11,4,2,2608,t,7,7,t,1,t,12,2,4,5,3.666666667,0,2,2,0,f,4,no,29
12297556,65,3,3,114,2461,t,3,3,t,1,t,4,1,1,3,1.666666667,0,0,25,0,f,5,no,41
86879639,85,246,1,0,1566,t,1,1,t,1,t,4,1,1,1,1,0,0,0,61,f,4,no,42
266547554,219,49,1,235,526,t,1,1,t,1,f,8,2,3,4,3,10,30,52,40,f,6,yes,55
26549368,1075,68,1,73,2121,t,1,1,t,1,t,10,3,4,7,4.666666667,9,36,66,30,f,6,no,50
7409639,1250,8,1,180,2682,f,1,1,t,1,t,8,3,4,4,3.666666667,30,60,90,2,t,5,no,24
461037,1600,0,2,0,3521,f,102,102,t,1,t,14,8,6,6,6.666666667,0,0,0,0,f,5,no,14
17850692,10,55,7,0,2318,t,7,7,t,1,t,2,1,1,1,1,0,0,0,12,t,6,yes,32
17365265,10,51,2,0,2329,f,2,2,t,1,t,4,1,1,2,1.333333333,0,0,0,0,f,4,no,35
35490655,100,3,1,0,1982,f,1,1,t,1,t,2,1,1,1,1,0,0,0,0,f,4,no,8
20232605,100,99,4,300,2278,f,4,4,t,1,t,2,1,0,1,0.666666667,0,0,25,1,f,7,yes,11
55066873,100,26,1,41,1760,f,1,1,t,1,t,1,1,0,1,0.666666667,0,11,41,3,f,5,no,21
19308647,100,225,4,12,2295,f,5,5,t,1,t,6,1,2,4,2.333333333,0,0,0,39,t,4,no,15
30536947,100,69,4,71,2050,f,7,7,t,1,t,4,1,2,2,1.666666667,11,41,71,12,f,6,yes,38
16635254,100,122,1,36,2347,t,1,1,t,1,t,4,1,1,1,1,2,6,36,57,t,5,no,34
156086844,100,12,16,360,1115,t,17,17,t,1,f,5,2,1,4,2.333333333,25,55,85,6,t,9,yes,45
157670574,100,0,1,0,1102,f,1,1,t,1,f,4,2,2,2,2,0,0,0,0,t,8,yes,13
11971705,100,1,1,0,2472,f,1,1,t,1,t,2,1,1,1,1,0,0,0,0,f,7,no,10
60561125,100,0,1,0,1721,f,1,1,t,1,t,4,1,1,2,1.333333333,0,0,0,0,t,8,yes,17
