host_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
111468433,161,1,0,,,1,89,1/14/2017,N/A,N/A,N/A,f,1,1,['phone'],t,f,2,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,""Lock on bedroom door"",Hangers,""translation missing: enhosting_amenity_49"",""translation missing: enhosting_amenity_50""}",50,1,1,50,50,1,50,30,60,89,0,,,,,,,,f,1,no,15
140139274,39,2,16,7/6/2018,46,5,0,7/12/2017,N/A,N/A,N/A,f,5,5,"['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",t,f,1,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Host greets you""}",15,2,2,15,15,2,15,0,0,0,0,98,10,10,10,10,10,10,f,6,no,19
225508386,39,1,1,2/17/2020,18,1,87,11/13/2018,N/A,N/A,80%,f,1,1,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,4,15,2,1,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""High chair"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""EV charger"",""Single level home"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Shower gel"",""Trash can""}",1125,1,1,1125,1125,1,1125,0,0,0,1,100,10,10,2,6,8,10,t,6,yes,45
10213028,55,2,5,2/20/2018,15,2,0,11/23/2013,N/A,N/A,0%,f,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,2,1,1,1,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Host greets you"",""Shower gel"",""Trash can""}",1125,2,2,1125,1125,2,1125,0,0,0,0,100,10,10,10,10,9,10,f,7,yes,41
10213028,55,2,8,8/15/2018,26,2,0,11/23/2013,N/A,N/A,0%,f,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,1,1,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,""Free street parking"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Host greets you""}",1125,2,2,1125,1125,2,1125,0,0,0,0,100,10,10,10,10,10,10,f,7,yes,40
140139274,59,1,9,12/15/2017,26,5,0,7/12/2017,N/A,N/A,N/A,f,5,5,"['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",t,f,2,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop-friendly workspace"",""Long term stays allowed"",""Host greets you""}",29,1,1,29,29,1,29,0,0,0,0,96,10,10,10,10,10,10,f,6,no,18
140139274,59,1,33,5/30/2018,95,5,0,7/12/2017,N/A,N/A,N/A,f,5,5,"['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",t,f,2,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop-friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}",29,1,1,29,29,1,29,0,0,0,0,98,10,10,10,10,10,10,f,6,no,19
140139274,59,1,21,5/29/2018,61,5,0,7/12/2017,N/A,N/A,N/A,f,5,5,"['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",t,f,2,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,""Lock on bedroom door"",Hangers,""Hot water"",""Host greets you""}",29,1,1,29,29,1,29,0,0,0,0,94,10,9,10,10,10,9,f,6,no,16
140139274,59,4,36,4/9/2018,104,5,0,7/12/2017,N/A,N/A,N/A,f,5,5,"['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",t,f,2,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",Essentials,""Lock on bedroom door"",Hangers,""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Host greets you""}",29,4,4,29,29,4,29,0,0,0,0,96,10,10,10,10,10,10,f,6,no,22
129771913,60,2,119,7/24/2020,331,1,142,5/10/2017,within a day,100%,97%,t,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,4,1,1,1,"{TV,Wifi,""Air conditioning"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Outlet covers"",""High chair"",""Childrenâ€™s books and toys"",""Pack â€™n Play/travel crib"",""Room-darkening shades"",""Childrenâ€™s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed""}",1125,2,2,1125,1125,2,1125,0,26,52,23,99,10,10,10,10,10,10,f,8,yes,39
