host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,,NumberOfVerfication,govermentIdentification,,numberofamentities
111468433,161,0,1,89,1396,f,1,1,1,t,0,f,1,2,1,1,1,1,30,60,89,0,f,1,1,no,0,15
140139274,39,16,5,0,1217,f,1,5,5,t,0,f,1,1,1,1,1,1,0,0,0,0,f,1,6,no,0,19
225508386,39,1,1,87,728,f,1,1,1,t,0,t,0,4,15,2,1,6,0,0,0,1,t,0,6,yes,1,45
10213028,55,5,2,0,2544,f,1,2,2,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,7,yes,1,41
10213028,55,8,2,0,2544,f,1,2,2,t,0,t,0,1,1,1,1,1,0,0,0,0,f,1,7,yes,1,40
140139274,59,9,5,0,1217,f,1,5,5,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,6,no,0,18
140139274,59,33,5,0,1217,f,1,5,5,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,6,no,0,19
140139274,59,21,5,0,1217,f,1,5,5,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,6,no,0,16
140139274,59,36,5,0,1217,f,1,5,5,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,6,no,0,22
129771913,60,119,1,142,1280,t,0,1,1,t,0,f,1,4,1,1,1,1,0,26,52,23,f,1,8,yes,1,39
68812666,69,0,1,179,1660,f,1,1,1,t,0,f,1,1,2,1,1,1.333333333,30,60,90,0,t,0,3,no,0,23
23226516,750,0,1,365,2201,f,1,1,1,t,0,f,1,1,15,1,1,5.666666667,30,60,90,0,f,1,3,no,0,21
237608553,200,0,1,29,661,f,1,1,1,t,0,f,1,1,15,1,1,5.666666667,29,29,29,0,t,0,1,no,0,32
90031206,37,207,2,8,1548,f,1,2,2,t,0,f,1,2,1,1,1,1,0,0,8,11,t,0,3,no,0,13
90031206,42,77,2,0,1548,f,1,2,2,t,0,f,1,4,2,1,2,1.666666667,0,0,0,2,t,0,3,no,0,17
215463771,55,242,1,356,787,t,0,1,1,t,0,f,1,2,1,1,1,1,23,53,83,113,t,0,7,yes,1,31
38965079,60,0,1,0,1941,f,1,1,1,t,0,f,1,1,1,2,2,1.666666667,0,0,0,0,f,1,4,yes,1,8
3532874,65,1,1,365,2982,f,1,0,0,t,0,t,0,2,1,1,1,1,30,60,90,1,f,1,7,no,0,30
84340991,40,8,1,0,1577,f,1,1,1,t,0,f,1,2,15,1,1,5.666666667,0,0,0,0,f,1,3,no,0,23
47352531,60,34,1,87,1844,f,1,1,1,t,0,f,1,4,1,1,1,1,27,57,87,23,t,0,2,no,0,31
107379661,65,22,1,0,1426,f,1,1,1,t,0,f,1,3,1,1,2,1.333333333,0,0,0,0,t,0,6,yes,1,18
122041980,1000,0,1,173,1329,f,1,1,1,t,0,f,1,12,1,1,1,1,23,53,83,0,t,0,3,no,0,9
16999041,100,16,3,329,2336,t,0,3,3,t,0,t,0,1,1,1,1,1,0,24,54,3,f,1,5,no,0,36
16999041,100,15,3,207,2336,t,0,3,3,t,0,t,0,1,15,1,1,5.666666667,0,0,0,2,f,1,5,no,0,34
14242327,110,2,1,0,2403,f,1,1,1,t,0,t,0,3,2,2,2,2,0,0,0,0,t,0,4,no,0,18
16999041,125,13,3,207,2336,t,0,3,3,t,0,t,0,1,1,1,1,1,0,0,0,1,f,1,5,no,0,37
25044306,125,4,1,0,2152,f,1,1,1,t,0,f,1,4,2,2,2,2,0,0,0,0,f,1,3,no,0,20
137542522,150,1,1,90,1231,f,1,1,1,t,0,f,1,2,1,1,1,1,30,60,90,0,t,0,2,no,0,12
17104920,150,0,1,83,2333,f,1,1,1,t,0,f,1,2,2,1,1,1.333333333,23,53,83,0,t,0,5,yes,1,22
23298734,150,0,1,0,2199,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,t,0,5,no,0,14
139306353,159,0,2,0,1221,t,0,2,2,t,0,t,0,4,1,2,2,1.666666667,0,0,0,0,t,0,4,no,0,39
103732317,200,67,7,210,1457,f,1,9,9,t,0,f,1,4,15,1,3,6.333333333,23,53,83,44,f,1,8,yes,1,38
25617057,350,1,1,88,2136,f,1,1,1,t,0,f,1,1,1,1,1,1,28,58,88,0,f,1,5,yes,1,17
211339168,36,36,1,46,810,t,0,2,2,t,0,f,1,1,1,1,1,1,0,16,46,26,t,0,6,yes,1,13
176611788,400,0,2,358,982,f,1,2,2,t,0,f,1,4,1,3,5,3,23,53,83,0,f,1,2,no,0,38
72203424,41,94,3,0,1640,f,1,3,3,t,0,f,1,2,1,1,1,1,0,0,0,0,t,0,6,yes,1,17
14060904,42,8,1,0,2408,t,0,3,3,t,0,t,0,2,15,1,1,5.666666667,0,0,0,8,f,1,5,no,0,24
72203424,43,69,3,0,1640,f,1,3,3,t,0,f,1,2,1,1,1,1,0,0,0,0,t,0,6,yes,1,15
92056919,45,7,4,0,1537,t,0,4,4,t,0,t,0,2,2,1,1,1.333333333,0,0,0,1,f,1,7,yes,1,28
72203424,45,40,3,0,1640,f,1,3,3,t,0,f,1,2,1,1,1,1,0,0,0,0,t,0,6,yes,1,27
19420487,47,4,1,0,2290,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,t,0,6,no,0,21
24908621,48,78,2,0,2156,t,0,2,2,t,0,t,0,1,15,1,1,5.666666667,0,0,0,28,f,1,8,no,0,48
24908621,48,40,2,0,2156,t,0,2,2,t,0,t,0,1,15,1,1,5.666666667,0,0,0,8,f,1,8,no,0,48
92056919,48,241,4,0,1537,t,0,4,4,t,0,t,0,2,2,1,1,1.333333333,0,0,0,51,f,1,7,yes,1,30
1773316,49,3,1,0,3187,f,1,2,2,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,5,no,0,24
123506488,49,2,2,0,1321,t,0,2,2,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,5,no,0,40
33834469,50,0,1,0,2001,f,1,1,1,t,0,f,1,1,1,1,1,1,0,0,0,0,f,1,2,no,0,12
52875994,50,7,2,0,1776,f,1,2,2,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,4,no,0,20
92056919,50,228,4,13,1537,t,0,4,4,t,0,t,0,2,1,1,1,1,13,13,13,62,f,1,7,yes,1,33
135563054,50,38,1,0,1242,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,0,t,0,8,yes,1,12
92056919,50,6,4,0,1537,t,0,4,4,t,0,t,0,2,2,1,1,1.333333333,0,0,0,0,f,1,7,yes,1,18
353114744,50,2,1,112,131,f,1,1,1,t,0,f,1,1,1,1,1,1,28,58,88,2,f,1,2,no,0,20
59830541,55,10,1,0,1724,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,2,no,0,18
261473396,55,0,2,180,547,f,1,0,0,f,1,f,1,1,1,1,1,1,30,60,90,0,t,0,5,yes,1,7
46954597,56,1,4,0,1849,t,0,1,1,t,0,f,1,2,1,1,1,1,0,0,0,1,f,1,5,yes,1,27
46954597,56,0,4,275,1849,t,0,1,1,t,0,f,1,2,1,1,2,1.333333333,1,28,37,0,f,1,5,yes,1,28
8655379,57,83,3,9,2623,t,0,3,3,t,0,t,0,2,1,1,1,1,9,9,9,28,f,1,4,no,0,32
14688626,57,8,1,0,2392,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,4,no,0,13
44363503,57,91,1,363,1882,t,0,1,1,t,0,f,1,1,1,1,1,1,28,58,88,18,f,1,4,no,0,29
30319497,58,51,1,162,2052,t,0,1,1,t,0,t,0,2,1,1,1,1,12,42,72,9,t,0,9,yes,1,44
1151858,59,482,3,86,3346,t,0,3,3,t,0,t,0,2,1,1,1,1,30,59,86,54,f,1,9,yes,1,38
28244663,59,12,1,0,2087,f,1,1,1,t,0,t,0,1,1,1,1,1,0,0,0,0,f,1,6,no,0,16
5062900,60,11,2,362,2828,f,1,2,2,t,0,t,0,1,1,1,1,1,27,57,87,3,f,1,4,no,0,22
257651099,60,6,2,82,567,t,0,2,2,t,0,t,0,2,2,1,1,1.333333333,22,52,82,6,f,1,7,yes,1,27
81329976,65,33,1,345,1592,f,1,1,1,t,0,t,0,2,1,1,1,1,10,40,70,12,t,0,6,no,0,37
203398527,65,20,1,83,846,t,0,1,1,t,0,f,1,1,2,1,1,1.333333333,0,0,0,6,f,1,7,yes,1,13
6230957,69,95,1,0,2746,t,0,1,1,t,0,t,0,2,1,1,1,1,0,0,0,10,f,1,5,no,0,27
222028204,69,9,1,85,750,t,0,1,1,t,0,f,1,2,1,1,1,1,25,55,85,2,t,0,4,yes,1,17
144288,70,59,1,80,3802,t,0,1,1,t,0,t,0,2,1,1,1,1,0,0,0,9,f,1,6,no,0,32
6183960,75,217,1,24,2750,t,0,1,1,t,0,t,0,1,1,1,1,1,1,1,1,2,f,1,7,yes,1,39
1692264,75,30,1,0,3203,f,1,1,1,t,0,t,0,2,15,1,1,5.666666667,0,0,0,23,f,1,9,yes,1,16
27193907,75,43,2,0,2106,t,0,2,2,t,0,f,1,2,1,1,1,1,0,0,0,11,t,0,7,yes,1,36
264184222,75,31,1,0,534,t,0,1,1,t,0,f,1,2,1,1,1,1,0,0,0,22,f,1,2,no,0,39
132088295,79,59,1,53,1264,t,0,1,1,t,0,f,1,2,1,1,1,1,0,23,53,12,t,0,3,no,0,30
4337023,79,59,1,0,2897,t,0,1,1,t,0,t,0,2,1,1,1,1,0,0,0,15,f,1,5,no,0,31
276025049,80,2,1,365,485,f,1,1,1,t,0,f,1,2,1,1,1,1,30,60,90,2,t,0,2,no,0,18
74510346,85,9,1,0,1627,f,1,1,1,t,0,t,0,2,2,1,1,1.333333333,0,0,0,0,f,1,5,no,0,17
139306353,89,92,2,0,1221,t,0,2,2,t,0,t,0,2,1,1,1,1,0,0,0,16,t,0,4,no,0,27
20841460,90,10,1,363,2261,f,1,1,1,t,0,f,1,2,0,1,1,0.666666667,28,58,88,3,f,1,7,yes,1,20
30945826,65,0,1,154,2041,f,1,1,1,t,0,t,0,2,1,1,1,1,5,35,65,0,f,1,5,no,0,20
71742158,100,9,2,24,1643,t,0,2,2,t,0,f,1,2,1,1,0,0.666666667,0,0,24,4,t,0,8,yes,1,37
71742158,100,1,2,67,1643,t,0,2,2,t,0,f,1,2,1,1,1,1,13,41,67,0,f,1,8,yes,1,39
32196671,110,0,1,0,2022,f,1,2,2,t,0,f,1,1,1,1,1,1,0,0,0,0,t,0,3,no,0,9
22028607,130,4,1,179,2232,f,1,1,1,t,0,t,0,2,1,1,1,1,29,59,89,0,f,1,5,no,0,16
194787839,130,2,1,31,884,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,2,no,0,27
66371345,150,0,1,0,1677,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,3,no,0,6
10824022,32,18,6,0,2511,t,0,5,5,t,0,f,1,2,1,1,2,1.333333333,0,0,0,2,f,1,3,no,0,14
10824022,37,21,6,0,2511,t,0,5,5,t,0,f,1,2,1,1,1,1,0,0,0,18,t,0,3,no,0,18
19652072,40,87,3,330,2287,t,0,3,3,t,0,t,0,2,1,1,1,1,0,25,55,32,f,1,5,no,0,16
19652072,40,44,3,330,2287,t,0,3,3,t,0,t,0,1,1,1,1,1,0,25,55,11,t,0,5,no,0,16
77944255,40,15,3,118,1609,t,0,3,3,t,0,t,0,2,1,1,1,1,0,21,51,2,f,1,9,yes,1,31
94387909,40,10,1,0,1523,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,7,yes,1,40
77944255,40,55,3,169,1609,t,0,3,3,t,0,t,0,3,1,1,1,1,11,41,71,25,f,1,9,yes,1,29
206054087,40,10,2,0,834,t,0,2,2,t,0,f,1,2,2,2,3,2.333333333,0,0,0,4,f,1,2,no,0,36
77944255,40,40,3,346,1609,t,0,3,3,t,0,t,0,3,1,1,1,1,11,41,71,27,f,1,9,yes,1,33
4237644,40,68,3,0,2907,t,0,3,3,t,0,t,0,2,1,1,1,1,0,0,0,30,f,1,4,no,0,16
58508816,42,9,2,269,1733,t,0,2,2,t,0,f,1,1,1,1,1,1,1,1,1,5,f,1,5,no,0,32
