host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
111468433,161,0,1,89,1396,f,1,t,f,2,1,1,1,1,30,60,89,0,f,1,no,15
140139274,39,16,5,0,1217,f,5,t,f,1,1,1,1,1,0,0,0,0,f,6,no,19
225508386,39,1,1,87,728,f,1,t,t,4,15,2,1,6,0,0,0,1,t,6,yes,45
10213028,55,5,2,0,2544,f,2,t,t,2,1,1,1,1,0,0,0,0,f,7,yes,41
10213028,55,8,2,0,2544,f,2,t,t,1,1,1,1,1,0,0,0,0,f,7,yes,40
140139274,59,9,5,0,1217,f,5,t,f,2,1,1,1,1,0,0,0,0,f,6,no,18
140139274,59,33,5,0,1217,f,5,t,f,2,1,1,1,1,0,0,0,0,f,6,no,19
140139274,59,21,5,0,1217,f,5,t,f,2,1,1,1,1,0,0,0,0,f,6,no,16
140139274,59,36,5,0,1217,f,5,t,f,2,1,1,1,1,0,0,0,0,f,6,no,22
129771913,60,119,1,142,1280,t,1,t,f,4,1,1,1,1,0,26,52,23,f,8,yes,39
68812666,69,0,1,179,1660,f,1,t,f,1,2,1,1,1.333333333,30,60,90,0,t,3,no,23
23226516,750,0,1,365,2201,f,1,t,f,1,15,1,1,5.666666667,30,60,90,0,f,3,no,21
237608553,200,0,1,29,661,f,1,t,f,1,15,1,1,5.666666667,29,29,29,0,t,1,no,32
90031206,37,207,2,8,1548,f,2,t,f,2,1,1,1,1,0,0,8,11,t,3,no,13
90031206,42,77,2,0,1548,f,2,t,f,4,2,1,2,1.666666667,0,0,0,2,t,3,no,17
215463771,55,242,1,356,787,t,1,t,f,2,1,1,1,1,23,53,83,113,t,7,yes,31
38965079,60,0,1,0,1941,f,1,t,f,1,1,2,2,1.666666667,0,0,0,0,f,4,yes,8
3532874,65,1,1,365,2982,f,0,t,t,2,1,1,1,1,30,60,90,1,f,7,no,30
84340991,40,8,1,0,1577,f,1,t,f,2,15,1,1,5.666666667,0,0,0,0,f,3,no,23
47352531,60,34,1,87,1844,f,1,t,f,4,1,1,1,1,27,57,87,23,t,2,no,31
107379661,65,22,1,0,1426,f,1,t,f,3,1,1,2,1.333333333,0,0,0,0,t,6,yes,18
122041980,1000,0,1,173,1329,f,1,t,f,12,1,1,1,1,23,53,83,0,t,3,no,9
16999041,100,16,3,329,2336,t,3,t,t,1,1,1,1,1,0,24,54,3,f,5,no,36
16999041,100,15,3,207,2336,t,3,t,t,1,15,1,1,5.666666667,0,0,0,2,f,5,no,34
14242327,110,2,1,0,2403,f,1,t,t,3,2,2,2,2,0,0,0,0,t,4,no,18
16999041,125,13,3,207,2336,t,3,t,t,1,1,1,1,1,0,0,0,1,f,5,no,37
25044306,125,4,1,0,2152,f,1,t,f,4,2,2,2,2,0,0,0,0,f,3,no,20
137542522,150,1,1,90,1231,f,1,t,f,2,1,1,1,1,30,60,90,0,t,2,no,12
17104920,150,0,1,83,2333,f,1,t,f,2,2,1,1,1.333333333,23,53,83,0,t,5,yes,22
23298734,150,0,1,0,2199,f,1,t,t,2,1,1,1,1,0,0,0,0,t,5,no,14
139306353,159,0,2,0,1221,t,2,t,t,4,1,2,2,1.666666667,0,0,0,0,t,4,no,39
103732317,200,67,7,210,1457,f,9,t,f,4,15,1,3,6.333333333,23,53,83,44,f,8,yes,38
25617057,350,1,1,88,2136,f,1,t,f,1,1,1,1,1,28,58,88,0,f,5,yes,17
211339168,36,36,1,46,810,t,2,t,f,1,1,1,1,1,0,16,46,26,t,6,yes,13
176611788,400,0,2,358,982,f,2,t,f,4,1,3,5,3,23,53,83,0,f,2,no,38
72203424,41,94,3,0,1640,f,3,t,f,2,1,1,1,1,0,0,0,0,t,6,yes,17
14060904,42,8,1,0,2408,t,3,t,t,2,15,1,1,5.666666667,0,0,0,8,f,5,no,24
